"","Var1","Var2","value","L1"
"127","AL24","fa2",0.0236974091305737,"omega"
"128","BE24","fa2",-0.427085227665582,"omega"
"129","CL22","fa2",-0.0341554862904789,"omega"
"130","KS22","fa2",-0.0364529425728015,"omega"
"131","KS23","fa2",0.311376071283981,"omega"
"132","KS24","fa2",0.161884616533803,"omega"
"133","LB23","fa2",-0.183600256798618,"omega"
"134","LB24","fa2",0.376219223441595,"omega"
"135","MR22","fa2",-0.219000018502257,"omega"
"136","OX23","fa2",0.261139081154393,"omega"
"137","PY22","fa2",0.280321563555112,"omega"
"138","PY23","fa2",0.0770962886420048,"omega"
"139","RO24","fa2",0.518794931473741,"omega"
"140","RW22","fa2",-0.0667430327839314,"omega"
"141","SB22","fa2",0.1178507820065,"omega"
"142","SB23","fa2",-0.10821511483713,"omega"
"143","SB24","fa2",0.0491985558340474,"omega"
"144","UN23","fa2",-0.117593826168148,"omega"
"145","AL24","fa3",0.267096867707521,"omega"
"146","BE24","fa3",0.0733404593373363,"omega"
"147","CL22","fa3",0.282037243738386,"omega"
"148","KS22","fa3",-0.201985313056848,"omega"
"149","KS23","fa3",0.117913995204126,"omega"
"150","KS24","fa3",-0.160386960641151,"omega"
"151","LB23","fa3",0.662877955835276,"omega"
"152","LB24","fa3",-0.0573627356955678,"omega"
"153","MR22","fa3",-0.135738799670921,"omega"
"154","OX23","fa3",0.182643165131587,"omega"
"155","PY22","fa3",0.181779222828435,"omega"
"156","PY23","fa3",0.215933270738108,"omega"
"157","RO24","fa3",0.00728147805631937,"omega"
"158","RW22","fa3",-0.3756499547237,"omega"
"159","SB22","fa3",0.00480957145911339,"omega"
"160","SB23","fa3",0.109777734903537,"omega"
"161","SB24","fa3",-0.182058883614466,"omega"
"162","UN23","fa3",-0.0526495224516808,"omega"
"163","AL24","fa1",0.383346837201275,"sev"
"164","BE24","fa1",0.0950508259151499,"sev"
"165","CL22","fa1",0.0656674001506584,"sev"
"166","KS22","fa1",0.0370182979714091,"sev"
"167","KS23","fa1",0.177935968094938,"sev"
"168","KS24","fa1",0.163714128552373,"sev"
"169","LB23","fa1",0.26982465479959,"sev"
"170","LB24","fa1",0.422124417281304,"sev"
"171","MR22","fa1",0.05916352603028,"sev"
"172","OX23","fa1",0.195346814136147,"sev"
"173","PY22","fa1",0.100564288005966,"sev"
"174","PY23","fa1",0.174280364095804,"sev"
"175","RO24","fa1",0.113989706752157,"sev"
"176","RW22","fa1",0.0374612462667633,"sev"
"177","SB22","fa1",0.193484146426194,"sev"
"178","SB23","fa1",0.497724488661259,"sev"
"179","SB24","fa1",0.27957844953288,"sev"
"180","UN23","fa1",0.2626702825067,"sev"
"181","AL24","fa2",0.256014184624287,"sev"
"182","BE24","fa2",0.0431186614571875,"sev"
"183","CL22","fa2",0.156741292022967,"sev"
"184","KS22","fa2",0.0925375012282332,"sev"
"185","KS23","fa2",0.196841289057049,"sev"
"186","KS24","fa2",0.135119304806433,"sev"
"187","LB23","fa2",-0.29535161681685,"sev"
"188","LB24","fa2",0.319782164001362,"sev"
"189","MR22","fa2",-0.0169258437484883,"sev"
"190","OX23","fa2",0.0150051473355845,"sev"
"191","PY22","fa2",0.121394213909702,"sev"
"192","PY23","fa2",-0.385335459514836,"sev"
"193","RO24","fa2",0.185898872762907,"sev"
"194","RW22","fa2",-0.346815247673569,"sev"
"195","SB22","fa2",-0.194592724939732,"sev"
"196","SB23","fa2",-0.218953297669028,"sev"
"197","SB24","fa2",-0.405165504645803,"sev"
"198","UN23","fa2",0.290573206914623,"sev"
"199","AL24","fa3",-0.0948295896467003,"sev"
"200","BE24","fa3",0.318103701081645,"sev"
"201","CL22","fa3",0.354561471864235,"sev"
"202","KS22","fa3",-0.0343050843843155,"sev"
"203","KS23","fa3",0.151607994777284,"sev"
"204","KS24","fa3",0.0656290060468188,"sev"
"205","LB23","fa3",-0.0113764553128371,"sev"
"206","LB24","fa3",0.0560851776101361,"sev"
"207","MR22","fa3",0.193298148909592,"sev"
"208","OX23","fa3",0.371673712662099,"sev"
"209","PY22","fa3",0.0208528097039999,"sev"
"210","PY23","fa3",0.134218125263874,"sev"
"211","RO24","fa3",0.0434140968106303,"sev"
"212","RW22","fa3",0.106292009814946,"sev"
"213","SB22","fa3",-0.0180184509443151,"sev"
"214","SB23","fa3",0.156177839678313,"sev"
"215","SB24","fa3",-0.419637473781258,"sev"
"216","UN23","fa3",-0.569570146803361,"sev"
